CustomerId;Recency;Frequency;MonetaryValue
12506;232;1;74
12507;134;3;435
12508;26;2;199
12509;284;1;177
12510;142;2;491
12512;66;2;69
12513;112;1;612
12514;267;1;1018
12515;353;1;384
12516;77;2;656
12517;28;5;501
12518;0;5;411
12519;63;1;341
12520;79;5;527
12521;142;1;600
12522;39;2;96
12523;19;11;163
12524;9;8;561
12526;0;3;439
12527;81;3;116
12528;9;6;322
12530;59;4;416
12531;14;1;125
12532;30;1;350
12534;130;1;1089
12535;91;2;358
12536;43;3;4201
12538;29;1;364
12539;22;4;1392
12540;19;17;788
12541;29;3;327
12544;36;1;373
12545;75;2;500
12546;46;2;581
12547;197;2;104
12548;166;1;95
12550;79;1;965
12551;357;1;168
12552;38;2;219
12553;8;10;369
12556;50;2;302
12557;16;5;2398
12558;7;1;270
12559;310;2;281
12560;5;3;711
12561;302;1;239
12562;8;7;540
12564;261;1;457
12565;288;1;146
12566;86;1;352
12567;22;10;940
12569;2;32;129
12571;39;2;260
12572;8;2;510
12573;227;1;161
12574;315;1;218
12576;35;5;263
12577;35;3;219
12578;21;2;1397
12579;78;1;440
12580;246;1;416
12581;39;1;198
12582;238;2;256
12583;2;15;485
12584;3;9;260
12585;234;2;1020
12586;17;1;197
12587;7;1;144
12588;39;1;215
12589;28;2;323
12590;211;2;4932
12591;317;1;453
12592;92;2;219
12593;108;3;139
12594;37;10;334
12596;51;2;309
12597;19;4;953
12598;9;8;378
12599;29;7;148
12600;28;10;260
12601;189;5;115
12602;58;1;153
12603;21;1;739
12604;79;2;127
12607;60;1;1580
12609;78;3;376
12610;22;5;420
12611;52;1;1193
12612;74;1;704
12613;57;5;669
12614;277;1;316
12615;2;4;573
12616;95;2;357
12617;29;1;356
12618;21;1;177
12619;16;9;405
12620;14;3;446
12621;1;20;684
12622;232;1;180
12623;276;1;305
12624;106;2;321
12625;211;2;1342
12626;23;9;736
12627;10;7;640
12628;4;3;262
12630;9;2;635
12631;57;1;641
12633;58;4;541
12635;89;2;845
12637;67;8;753
12638;33;1;672
12639;238;1;486
12640;23;3;392
12641;115;1;186
12642;25;3;338
12643;128;6;557
12644;129;1;478
12645;33;4;444
12646;4;2;673
12647;22;12;310
12648;154;1;318
12649;107;3;208
12650;3;1;314
12651;334;1;114
12652;331;1;920
12653;148;2;1105
12654;10;5;120
12656;17;5;810
12657;11;4;411
12658;18;1;686
12659;29;1;92
12660;11;1;245
12662;0;11;350
12664;8;9;542
12665;324;1;63
12667;58;1;620
12668;11;4;952
12669;150;3;915
12670;10;5;599
12672;329;1;226
12673;5;2;305
12674;38;4;493
12676;24;6;222
12678;42;12;1469
12679;58;4;278
12680;0;4;216
12681;14;22;627
12682;3;31;396
12683;4;15;565
12684;7;7;326
12685;28;6;477
12686;371;1;89
12688;113;1;4874
12689;25;2;624
12690;205;1;389
12691;28;6;173
12693;127;4;214
12694;70;2;435
12695;7;4;146
12697;28;3;319
12700;7;4;1235
12701;79;2;399
12702;19;1;219
12703;71;1;284
12704;7;8;293
12705;15;9;763
12707;291;1;603
12708;29;10;271
12709;15;15;649
12710;96;3;383
12712;28;13;338
12713;0;1;849
12714;9;5;942
12715;106;1;354
12716;3;2;527
12717;151;2;515
12718;71;1;238
12719;5;2;322
12720;2;25;231
12721;31;6;443
12722;85;4;249
12723;3;5;145
12724;5;4;258
12725;371;1;428
12726;28;7;373
12727;10;7;569
12728;71;4;209
12729;113;1;453
12731;23;12;1575
12732;179;1;236
12733;234;1;384
12734;352;1;110
12735;315;2;390
12736;332;1;234
12738;372;1;155
12739;78;2;507
12740;63;1;428
12743;134;2;273
12744;51;7;3040
12747;2;11;381
12748;0;209;161
12749;3;5;818
12750;128;1;276
12752;81;1;4367
12753;22;6;3572
12754;235;3;1004
12755;280;2;1906
12756;86;1;112
12757;15;13;604
12758;116;2;1396
12759;52;3;510
12762;7;2;949
12763;138;2;247
12764;316;1;1694
12766;3;7;999
12769;238;1;1144
12770;210;1;1351
12772;59;1;892
12775;17;5;277
12778;19;6;137
12779;37;8;498
12781;63;2;413
12782;4;5;466
12783;2;6;371
12784;9;2;287
12785;364;1;312
12787;9;3;155
12789;65;1;92
12790;192;1;325
12791;373;1;193
12792;256;1;401
12793;334;2;273
12794;53;2;430
12795;18;1;430
12797;365;1;254
12798;10;3;2326
12802;186;1;428
12808;36;3;161
12809;177;1;489
12811;260;3;172
12812;44;1;230
12814;101;1;126
12815;147;2;532
12816;95;2;286
12817;281;1;166
12818;261;1;1542
12820;3;4;236
12821;214;1;93
12822;70;2;474
12823;74;5;352
12824;59;1;397
12826;2;7;211
12827;5;3;143
12828;2;6;170
12829;336;2;147
12830;37;6;1136
12831;262;1;215
12832;32;2;192
12833;145;1;417
12834;282;1;312
12836;59;4;653
12837;173;1;134
12838;33;2;342
12839;2;14;399
12840;143;4;682
12841;4;25;161
12842;70;2;559
12843;65;8;213
12844;29;2;163
12845;267;4;89
12847;22;1;872
12849;31;2;525
12851;96;1;135
12852;294;1;312
12853;134;6;326
12854;78;3;442
12855;372;1;38
12856;7;6;363
12857;210;2;553
12863;52;1;521
12864;138;1;147
12865;26;2;784
12866;283;1;559
12867;26;7;577
12868;185;6;268
12871;84;2;190
12872;326;2;300
12873;282;1;374
12875;143;2;172
12876;57;2;1109
12877;3;12;128
12878;236;2;427
12879;44;3;191
12881;275;1;298
12882;9;2;732
12883;24;4;176
12884;88;1;309
12885;63;3;392
12886;67;2;689
12888;214;2;177
12890;24;1;380
12891;185;3;110
12893;30;1;188
12895;42;2;186
12897;204;2;108
12901;8;28;631
12902;264;1;139
12904;18;2;255
12906;11;5;584
12908;176;2;375
12909;39;5;436
12910;23;8;384
12912;2;5;332
12913;4;5;497
12915;148;2;182
12916;138;4;752
12917;128;1;594
12919;8;6;223
12920;17;1;164
12921;9;37;448
12922;161;1;405
12923;64;1;177
12924;88;4;233
12925;4;2;347
12928;35;5;413
12929;311;1;118
12930;78;2;208
12931;21;15;2804
12933;24;3;203
12935;2;7;309
12936;17;4;266
12937;15;4;376
12938;25;1;114
12939;64;8;1448
12940;54;2;457
12942;131;3;228
12944;35;2;302
12945;288;1;463
12947;143;6;267
12948;16;7;295
12949;30;8;521
12950;2;3;614
12951;8;6;177
12952;5;4;347
12953;9;1;330
12955;1;11;432
12956;306;1;108
12957;9;8;502
12962;7;2;133
12963;8;8;232
12965;89;1;772
12966;9;1;160
12967;358;2;830
12968;112;1;136
12970;7;4;113
12971;3;86;130
12974;197;1;145
12976;211;1;739
12977;156;1;39
12980;157;9;819
12981;29;2;186
12982;242;1;391
12984;18;1;98
12985;0;2;620
12987;73;2;279
12988;292;1;535
12989;3;15;462
12990;31;3;137
12991;23;2;252
12993;23;4;104
12994;4;3;325
12995;85;1;211
12997;22;4;307
12999;196;3;152
13000;106;3;178
13001;4;13;755
13002;318;1;121
13003;105;3;50
13004;11;18;314
13005;173;2;257
13006;56;1;82
13008;323;1;229
13011;372;1;51
13012;9;8;208
13013;1;13;370
13014;10;10;347
13015;53;5;669
13016;73;3;263
13017;7;1;204
13018;16;28;260
13021;4;9;291
13023;64;2;345
13026;1;5;195
13027;113;6;1152
13028;22;2;331
13029;30;3;416
13030;11;2;400
13032;52;2;505
13033;357;1;191
13034;54;2;321
13035;73;2;461
13037;138;3;294
13038;80;3;303
13040;8;2;338
13043;273;1;516
13044;291;1;560
13045;99;1;305
13046;30;2;315
13047;31;10;324
13048;14;4;459
13049;64;2;328
13050;14;17;343
13052;212;1;348
13055;78;3;405
13058;24;3;90
13059;249;1;183
13060;253;1;308
13061;72;1;249
13062;191;1;347
13064;12;4;280
13065;373;1;206
13066;24;2;235
13067;82;1;115
13068;10;2;172
13069;0;24;185
13070;192;1;229
13072;266;1;177
13075;129;1;920
13077;1;4;182
13078;3;26;486
13079;4;5;44
13080;179;1;58
13081;11;11;2576
13082;126;9;402
13083;4;2;152
13085;157;2;208
13089;2;97;606
13090;8;14;636
13091;28;1;346
13092;70;5;96
13093;275;8;979
13094;21;12;161
13095;70;1;74
13097;32;10;601
13098;1;28;1032
13099;99;1;207
13101;234;1;101
13102;1;24;268
13103;39;1;244
13104;3;6;183
13106;133;1;77
13107;44;4;383
13108;372;1;350
13109;59;2;393
13110;31;7;213
13113;0;24;510
13115;11;4;574
13116;138;1;501
13117;21;8;123
13118;19;5;240
13120;238;1;31
13121;269;1;284
13122;94;2;461
13124;89;3;1289
13126;4;8;262
13127;77;1;259
13130;94;1;64
13131;23;3;358
13132;261;1;77
13133;273;2;55
13134;85;4;448
13135;196;1;3096
13136;56;5;522
13137;10;8;456
13138;22;6;160
13139;16;7;724
13140;108;3;141
13141;84;5;478
13142;19;1;307
13144;332;1;111
13145;39;4;155
13146;26;1;229
13147;10;4;178
13148;29;12;309
13149;14;4;419
13151;295;1;1258
13153;5;1;486
13155;33;4;243
13157;49;4;435
13158;94;4;300
13159;8;4;359
13160;22;1;92
13161;313;1;113
13162;122;4;422
13165;46;2;511
13166;283;1;417
13167;18;4;198
13168;36;4;330
13169;63;2;356
13170;26;1;116
13171;21;3;156
13173;4;2;177
13174;16;3;939
13176;46;1;493
13177;64;1;282
13178;26;11;520
13182;45;1;121
13183;7;9;440
13184;14;10;170
13185;267;1;71
13186;39;3;525
13187;337;1;236
13188;11;1;115
13189;18;2;130
13192;95;2;456
13193;61;1;118
13194;135;1;61
13196;11;4;449
13198;10;6;567
13199;3;38;258
13200;19;4;218
13203;9;4;217
13207;15;2;125
13208;58;6;204
13209;30;8;736
13210;93;1;353
13211;10;3;399
13212;19;3;263
13213;56;5;304
13216;267;1;334
13217;122;3;178
13218;127;1;63
13220;78;4;205
13221;240;2;424
13223;200;2;82
13224;60;2;1078
13225;3;7;923
13226;273;1;108
13227;201;1;258
13228;81;1;358
13229;225;1;161
13230;4;14;200
13232;12;7;194
13233;74;2;303
13235;212;1;1031
13236;24;2;372
13238;17;4;175
13239;261;1;330
13240;96;4;166
13242;112;3;90
13243;203;1;600
13244;92;1;122
13245;50;1;431
13246;18;6;331
13247;17;4;125
13248;124;2;233
13249;92;3;237
13253;156;2;515
13255;9;2;200
13258;11;3;233
13259;61;1;292
13260;61;1;558
13261;268;2;472
13262;263;1;200
13263;1;35;213
13265;53;5;422
13266;11;12;320
13267;2;19;238
13268;17;11;292
13269;1;15;356
13270;366;1;590
13271;37;1;217
13272;31;2;138
13273;113;1;139
13276;63;2;295
13277;15;4;65
13278;40;1;543
13279;78;1;138
13280;122;3;272
13282;18;3;377
13283;59;2;47
13284;330;1;201
13285;23;4;677
13291;155;1;361
13292;38;2;289
13294;189;2;437
13295;359;1;201
13296;137;1;87
13297;7;4;522
13298;1;1;360
13299;268;1;143
13300;169;1;372
13301;103;4;155
13302;155;1;64
13304;351;1;300
13305;4;10;200
13307;120;1;15
13308;22;3;462
13309;7;5;291
13310;28;3;377
13311;4;2;299
13313;22;5;311
13314;1;3;259
13316;37;4;1494
13317;66;6;379
13318;1;3;214
13319;5;26;417
13320;78;4;387
13321;72;2;284
13322;17;1;199
13323;3;5;158
13324;36;10;712
13325;81;1;675
13327;38;8;453
13328;316;1;1308
13329;31;2;395
13330;92;3;380
13332;14;1;351
13334;82;3;1179
13336;77;1;795
13338;157;1;487
13339;200;1;860
13340;45;7;1534
13341;260;1;776
13343;177;1;353
13344;67;3;848
13345;287;1;390
13347;70;1;341
13348;64;1;234
13349;10;1;247
13350;16;2;490
13351;66;1;374
13352;60;1;398
13354;71;1;744
13355;122;1;675
13356;80;1;768
13357;257;1;610
13358;268;1;439
13359;63;1;440
13362;9;4;773
13363;17;2;496
13364;71;1;135
13365;33;2;1113
13366;50;1;56
13368;256;2;312
13369;365;1;308
13370;371;1;755
13372;89;1;379
13373;60;3;1104
13375;88;1;779
13376;99;3;340
13379;26;3;191
13381;31;6;607
13382;280;1;223
13384;30;7;593
13385;329;1;535
13388;131;2;339
13389;11;3;266
13390;74;1;544
13391;203;1;60
13394;1;8;315
13395;185;1;308
13396;29;2;680
13397;72;5;309
13398;192;1;457
13402;127;2;311
13403;17;1;75
13404;1;2;126
13405;74;3;191
13408;1;62;454
13410;24;5;201
13411;107;1;214
13414;133;3;464
13416;43;2;356
13417;4;2;320
13418;11;18;340
13419;63;1;221
13420;149;2;80
13421;40;2;926
13422;64;1;2626
13425;108;3;541
13426;0;10;364
13427;19;3;194
13428;10;1;218
13429;10;4;252
13430;18;2;340
13431;67;2;635
13434;74;2;267
13435;5;7;544
13436;1;1;197
13437;14;7;487
13439;255;1;284
13441;91;1;297
13447;23;3;376
13448;16;6;590
13449;23;1;292
13450;26;6;341
13451;26;5;595
13452;259;2;295
13453;165;2;178
13455;24;2;529
13456;17;6;294
13458;7;14;689
13460;29;2;92
13461;38;3;482
13462;252;1;152
13464;58;1;675
13466;184;1;308
13467;10;2;542
13468;1;37;154
13470;99;2;83
13471;1;4;633
13473;60;2;211
13474;236;1;230
13475;191;4;358
13476;178;2;619
13477;37;6;242
13479;200;2;150
13481;45;5;361
13482;232;1;185
13483;65;1;140
13484;241;1;314
13485;233;1;454
13486;78;3;374
13487;57;3;192
13488;17;13;690
13489;105;4;112
13491;51;10;122
13492;136;3;423
13493;275;2;309
13494;311;1;316
13495;7;5;409
13496;10;2;327
13497;282;2;174
13499;17;5;232
13500;23;3;389
13501;288;1;1340
13502;16;3;97
13503;71;1;217
13504;64;1;296
13505;72;4;1098
13506;316;2;229
13507;3;4;620
13508;243;1;111
13509;8;7;140
13510;1;4;448
13512;260;1;251
13513;126;1;205
13514;73;1;152
13515;72;4;223
13516;21;3;463
13517;59;3;709
13518;85;1;659
13519;78;1;123
13520;58;6;604
13521;1;3;365
13522;30;1;126
13523;33;5;793
13524;40;5;136
13525;14;2;314
13527;33;7;327
13529;78;2;154
13531;205;2;242
13532;33;1;210
13533;182;3;90
13534;2;25;235
13536;1;7;493
13538;43;7;183
13539;85;3;210
13544;39;2;146
13546;12;3;209
13548;96;2;341
13549;25;7;131
13551;319;1;92
13552;66;12;312
13555;73;4;1037
13557;28;2;292
13558;5;4;151
13560;7;1;174
13561;215;1;142
13562;81;3;600
13563;84;2;389
13564;144;3;583
13565;19;2;120
13566;40;2;437
13568;173;1;193
13569;17;2;187
13570;243;1;239
13571;12;12;174
13572;205;1;1384
13573;50;2;147
13575;23;5;146
13576;10;18;373
13577;25;4;422
13579;14;2;234
13581;309;1;118
13583;155;1;781
13584;306;1;142
13587;63;1;712
13588;15;9;275
13589;14;2;190
13590;11;6;330
13591;64;3;372
13592;35;4;62
13593;108;5;407
13594;52;1;397
13596;5;2;349
13598;47;1;180
13599;1;21;245
13600;312;1;220
13601;45;2;347
13602;64;1;429
13603;26;1;164
13606;29;3;94
13607;40;1;678
13610;12;7;162
13611;89;3;391
13614;24;4;403
13615;318;1;418
13617;40;3;181
13618;173;1;177
13621;116;1;214
13623;30;5;150
13626;252;1;257
13627;59;5;328
13629;23;11;708
13630;5;7;290
13631;99;11;279
13632;24;5;424
13634;33;5;315
13635;67;1;1071
13636;36;5;190
13637;52;3;270
13638;15;1;123
13639;74;1;1033
13642;215;1;355
13643;31;3;173
13644;16;4;656
13645;120;1;252
13647;9;4;420
13649;256;2;173
13650;16;6;306
13651;35;2;47
13652;45;3;365
13654;43;6;451
13655;114;2;466
13656;164;2;190
13657;10;2;191
13658;9;5;528
13659;205;2;787
13662;85;3;299
13663;179;1;189
13666;60;3;28
13667;149;1;305
13668;2;21;303
13669;50;2;109
13670;75;1;350
13672;301;2;93
13673;18;2;198
13675;151;2;243
13678;151;1;233
13680;1;4;931
13681;17;4;207
13682;187;1;60
13684;285;1;67
13685;2;7;446
13686;182;1;72
13689;63;1;910
13690;59;1;172
13692;24;3;496
13694;3;50;1301
13695;31;15;167
13697;38;1;151
13699;155;1;309
13700;26;10;227
13703;318;1;100
13704;5;9;256
13705;7;3;237
13706;302;1;331
13707;267;2;403
13708;271;1;297
13709;3;13;487
13710;31;1;180
13711;218;2;126
13712;246;1;229
13715;281;5;216
13716;269;1;138
13717;32;6;241
13718;246;2;153
13719;15;5;208
13720;116;4;200
13721;36;1;524
13722;131;3;792
13723;217;1;200
13725;49;8;248
13726;38;2;540
13727;28;2;167
13728;36;6;169
13730;135;2;376
13731;219;2;305
13732;28;1;492
13735;24;4;721
13736;5;2;366
13737;200;1;340
13739;18;1;217
13740;240;1;351
13741;71;3;223
13742;16;12;261
13743;2;7;192
13744;95;2;578
13745;162;1;300
13747;373;1;80
13748;95;5;190
13750;53;5;329
13751;288;1;296
13752;124;6;198
13753;287;1;741
13754;151;2;141
13755;3;9;240
13756;2;14;371
13758;11;7;456
13759;33;2;330
13760;54;2;143
13761;50;2;535
13762;218;1;307
13763;63;1;1715
13764;70;3;507
13767;2;37;465
13769;2;10;280
13771;64;4;659
13772;33;3;377
13774;81;1;345
13777;0;33;787
13778;103;1;179
13780;7;2;180
13781;250;1;128
13782;12;6;152
13784;9;11;224
13786;367;1;230
13787;75;2;155
13790;4;1;349
13791;127;2;758
13792;66;2;98
13798;1;57;652
13799;116;2;344
13800;309;1;558
13801;66;1;325
13802;138;3;1533
13803;255;1;277
13804;30;7;377
13805;52;2;462
13806;63;1;256
13807;367;1;113
13808;5;5;350
13809;305;1;155
13810;28;3;500
13811;183;3;272
13812;42;3;180
13813;39;4;342
13814;92;2;790
13815;22;4;1007
13816;23;2;286
13817;29;2;191
13819;301;3;380
13821;144;2;193
13822;5;2;316
13823;18;2;479
13824;32;5;340
13826;176;1;190
13827;57;3;137
13828;22;1;209
13831;16;6;367
13832;19;1;52
13833;159;1;385
13835;25;4;209
13837;211;2;136
13838;5;4;173
13841;252;1;85
13842;58;9;376
13844;11;1;362
13845;64;1;313
13846;24;3;288
13848;92;3;418
13849;51;2;769
13850;129;1;1595
13851;95;3;884
13853;57;1;1090
13854;8;25;324
13856;168;3;130
13858;57;1;216
13859;326;1;201
13860;1;5;249
13862;18;8;276
13863;247;1;306
13865;58;4;125
13866;74;1;146
13867;31;3;338
13868;7;2;1596
13869;123;4;776
13870;2;8;346
13871;22;13;493
13873;119;3;130
13874;358;1;540
13875;53;5;357
13876;63;1;123
13877;86;1;117
13878;54;1;1282
13880;21;13;248
13881;3;20;858
13882;2;5;238
13883;10;5;535
13884;7;5;158
13885;189;2;253
13886;71;1;244
13887;204;1;350
13888;119;2;303
13889;92;1;417
13890;1;10;188
13892;26;4;158
13893;297;1;821
13894;23;3;188
13895;28;4;648
13897;50;1;311
13898;325;1;156
13899;16;2;194
13900;183;3;247
13901;72;5;573
13904;37;2;166
13908;79;4;592
13911;57;9;287
13914;11;2;313
13917;49;2;136
13918;49;2;606
13919;59;2;192
13922;351;1;172
13923;53;1;351
13924;1;6;306
13925;92;4;170
13926;23;1;224
13927;74;1;349
13928;10;4;116
13929;169;2;421
13930;57;2;169
13931;95;2;619
13932;294;1;307
13933;109;2;304
13934;263;1;922
13936;179;1;377
13937;169;1;159
13938;35;1;72
13939;23;3;190
13940;17;4;210
13941;21;5;1023
13946;79;3;187
13947;65;1;91
13948;360;1;102
13949;2;6;405
13950;11;4;186
13951;176;3;225
13952;217;2;1626
13953;7;7;502
13954;1;2;220
13955;154;2;161
13956;5;5;205
13959;79;3;199
13960;21;2;115
13962;21;2;85
13963;308;4;166
13967;145;1;81
13969;7;18;503
13971;18;8;345
13972;70;2;95
13973;287;1;265
13974;49;1;414
13975;31;6;421
13976;206;1;358
13978;14;2;98
13979;73;1;870
13980;60;1;200
13982;39;4;468
13983;29;12;217
13984;26;5;184
13985;4;15;471
13986;17;1;320
13988;19;6;691
13989;65;2;633
13990;213;1;311
13991;12;6;143
13992;30;1;77
13993;42;9;385
13994;3;6;386
13995;15;5;279
13999;10;12;325
14000;211;1;636
14001;45;3;681
14002;134;2;265
14004;43;7;655
14005;9;5;575
14006;115;3;321
14009;198;2;348
14012;277;1;329
14013;110;3;158
14014;77;1;505
14015;52;1;917
14016;161;4;1085
14019;46;3;474
14020;16;2;321
14021;155;3;211
14022;225;1;440
14023;7;2;292
14024;121;2;164
14027;60;1;105
14029;63;2;234
14030;18;8;295
14031;7;19;910
14032;2;11;271
14034;22;3;217
14035;28;5;286
14036;284;1;627
14037;176;2;74
14038;78;3;520
14039;33;1;152
14040;40;12;301
14041;266;1;141
14044;26;4;163
14045;109;4;415
14046;284;1;155
14047;8;5;262
14048;305;1;410
14049;16;4;1420
14050;31;2;373
14051;0;23;679
14052;19;1;225
14053;124;2;130
14054;65;1;92
14055;106;1;726
14056;1;23;357
14057;23;17;366
14059;266;1;184
14060;4;19;323
14062;9;12;872
14064;29;5;271
14066;266;1;153
14067;63;2;187
14068;320;1;266
14071;3;8;180
14073;32;1;151
14075;4;3;314
14076;129;1;122
14077;40;5;100
14078;101;6;175
14079;124;1;375
14080;32;1;46
14081;302;2;467
14082;364;1;182
14083;4;9;113
14085;2;18;247
14087;2;1;194
14088;10;13;3884
14089;56;1;161
14090;324;1;76
14092;7;14;291
14093;12;1;443
14096;4;17;3833
14098;36;1;147
14099;16;11;282
14100;137;1;195
14101;73;6;996
14102;5;5;272
14104;154;2;108
14105;239;1;1266
14107;51;7;386
14108;30;2;299
14109;72;1;144
14110;3;12;474
14111;14;4;173
14112;22;7;416
14113;3;4;460
14114;273;2;193
14116;19;5;277
14117;143;1;90
14121;3;4;695
14124;84;1;420
14125;10;3;913
14126;7;3;235
14127;122;3;237
14128;60;2;319
14129;1;5;225
14130;319;1;484
14132;2;11;326
14133;129;3;202
14135;1;15;313
14138;1;2;491
14139;46;1;416
14140;3;2;468
14141;2;4;229
14142;373;1;312
14143;133;1;116
14145;46;4;936
14146;8;5;838
14147;78;2;242
14148;233;1;157
14149;220;1;447
14150;35;2;329
14152;75;2;311
14154;239;2;673
14155;266;1;119
14156;9;55;2134
14157;19;2;216
14158;40;1;508
14159;19;11;427
14161;215;3;370
14162;173;2;145
14163;87;4;611
14164;70;2;816
14165;275;1;123
14167;39;4;144
14171;98;1;364
14173;10;4;113
14174;33;1;134
14175;59;3;1074
14176;297;4;144
14177;86;4;140
14178;8;7;232
14179;40;2;360
14180;10;25;190
14184;66;1;453
14185;331;1;198
14188;30;6;342
14189;2;15;310
14191;1;13;360
14193;67;2;427
14194;4;21;540
14195;201;2;506
14196;106;1;336
14198;18;4;175
14199;218;1;185
14201;60;7;107
14204;2;1;161
14205;16;2;233
14206;239;1;328
14208;94;1;152
14209;10;6;346
14210;105;6;318
14211;53;9;249
14212;89;1;1070
14214;30;5;201
14215;11;6;298
14216;3;4;460
14217;1;17;118
14218;42;1;169
14219;4;1;90
14220;247;2;316
14221;42;9;381
14222;177;1;683
14223;92;3;330
14224;110;4;263
14226;28;5;446
14227;26;10;335
14229;51;3;516
14231;183;3;309
14232;42;5;410
14233;49;4;366
14234;22;4;194
14235;75;5;629
14236;80;2;245
14237;373;1;161
14238;326;1;147
14239;43;11;216
14240;30;2;445
14241;183;1;214
14242;234;2;140
14243;8;10;259
14245;219;2;847
14246;110;3;491
14247;278;1;137
14248;318;1;303
14250;7;3;635
14251;1;5;576
14256;260;2;485
14257;64;5;620
14258;9;9;1408
14259;141;1;120
14261;50;2;582
14262;8;8;327
14264;154;2;167
14265;109;2;265
14267;162;3;505
14270;331;1;493
14271;225;1;112
14272;73;2;219
14273;51;4;140
14276;98;3;373
14277;15;3;1405
14280;196;1;134
14282;3;15;249
14284;30;2;298
14285;21;4;478
14286;23;3;1543
14287;8;3;59
14288;213;1;427
14289;8;6;152
14290;11;5;463
14291;1;11;353
14292;7;9;541
14293;3;4;262
14295;40;1;166
14297;17;4;326
14298;8;44;1171
14299;8;9;441
14300;18;1;43
14301;117;1;640
14304;222;1;383
14305;71;3;620
14306;51;2;1047
14307;88;6;499
14309;8;9;261
14311;242;1;310
14312;46;6;269
14314;106;1;120
14315;44;6;414
14317;64;1;509
14320;206;2;239
14321;10;5;306
14323;114;2;303
14326;242;1;184
14327;163;1;312
14329;17;7;716
14331;124;2;231
14332;22;3;289
14333;67;1;415
14334;16;8;319
14335;16;2;234
14336;16;4;404
14338;161;2;294
14339;242;1;310
14340;218;1;135
14341;45;8;273
14342;21;4;167
14344;127;8;111
14345;38;1;109
14346;120;2;511
14348;260;1;410
14349;10;1;134
14350;274;1;283
14351;164;1;51
14352;157;4;270
14353;215;1;91
14354;5;2;82
14355;365;1;174
14356;79;2;351
14357;43;1;226
14359;19;3;304
14360;31;4;532
14362;22;1;161
14364;108;8;465
14367;8;16;579
14368;319;1;155
14371;295;1;101
14373;358;1;77
14375;185;1;258
14377;191;2;309
14379;44;2;174
14381;52;1;203
14382;26;1;626
14383;38;3;416
14385;9;3;67
14386;296;1;142
14387;32;3;590
14388;10;8;402
14389;65;2;522
14390;10;9;517
14393;218;1;68
14395;2;9;390
14396;65;2;244
14397;2;19;138
14400;149;1;575
14401;4;13;312
14403;130;4;369
14404;33;6;246
14406;119;1;157
14407;107;6;360
14408;10;7;372
14409;71;6;343
14410;92;9;123
14411;310;1;1063
14412;42;2;385
14413;362;1;123
14414;91;7;214
14415;1;13;454
14416;22;2;245
14418;3;3;646
14419;10;6;176
14420;99;1;388
14421;57;2;407
14422;0;6;711
14423;218;1;265
14424;17;1;322
14426;23;10;448
14427;50;2;182
14428;7;5;249
14431;302;1;470
14432;9;6;376
14434;21;6;229
14436;98;1;89
14437;365;1;63
14438;306;1;132
14439;319;1;2661
14440;8;5;472
14441;0;4;428
14442;204;2;795
14443;53;4;355
14446;0;4;260
